Regio's,Perioden,Huurverhoging inclusief huurharmonisatie,Huurverhoging exclusief huurharmonisatie
Nederland,2015,"2,4","1,9"
Nederland,2016,"1,9","1,4"
Nederland,2017,"1,6","1,2"
Nederland,2018,"2,3","1,8"
Nederland,2019,"2,5","2,1"
Nederland,2020,"2,9","2,4"
Nederland,2021,"0,8","0,3"
Nederland,2022,3,"2,4"
Nederland,2023,2,"1,3"
Nederland,2024,"5,4","4,7"
Noord-Nederland (LD),2015,"2,5","1,7"
Noord-Nederland (LD),2016,"1,4",1
Noord-Nederland (LD),2017,"1,2","0,8"
Noord-Nederland (LD),2018,"1,8","1,5"
Noord-Nederland (LD),2019,"2,3",2
Noord-Nederland (LD),2020,"2,9","2,6"
Noord-Nederland (LD),2021,"0,3","-0,1"
Noord-Nederland (LD),2022,"2,6","2,1"
Noord-Nederland (LD),2023,2,"1,4"
Noord-Nederland (LD),2024,"5,2","4,8"
Oost-Nederland (LD),2015,"2,3","1,9"
Oost-Nederland (LD),2016,"1,7","1,3"
Oost-Nederland (LD),2017,"1,3",1
Oost-Nederland (LD),2018,"2,2","1,8"
Oost-Nederland (LD),2019,"2,2","1,9"
Oost-Nederland (LD),2020,"2,3",2
Oost-Nederland (LD),2021,1,"0,6"
Oost-Nederland (LD),2022,"2,7","2,3"
Oost-Nederland (LD),2023,"1,6",1
Oost-Nederland (LD),2024,"5,6","4,9"
West-Nederland (LD),2015,"2,5",2
West-Nederland (LD),2016,"2,1","1,5"
West-Nederland (LD),2017,"1,8","1,3"
West-Nederland (LD),2018,"2,6",2
West-Nederland (LD),2019,"2,8","2,3"
West-Nederland (LD),2020,"3,1","2,5"
West-Nederland (LD),2021,"0,9","0,3"
West-Nederland (LD),2022,"3,2","2,5"
West-Nederland (LD),2023,"2,1","1,4"
West-Nederland (LD),2024,"5,5","4,6"
Zuid-Nederland (LD),2015,"2,2","1,8"
Zuid-Nederland (LD),2016,"1,7","1,3"
Zuid-Nederland (LD),2017,"1,6","1,2"
Zuid-Nederland (LD),2018,2,"1,6"
Zuid-Nederland (LD),2019,"2,3",2
Zuid-Nederland (LD),2020,"2,7","2,4"
Zuid-Nederland (LD),2021,"0,6","0,3"
Zuid-Nederland (LD),2022,"2,7","2,3"
Zuid-Nederland (LD),2023,"1,8","1,2"
Zuid-Nederland (LD),2024,"5,3","4,8"
Groningen (PV),2015,"2,8","1,9"
Groningen (PV),2016,"1,5",1
Groningen (PV),2017,"1,1","0,8"
Groningen (PV),2018,"1,9","1,6"
Groningen (PV),2019,"2,5","2,1"
Groningen (PV),2020,3,"2,6"
Groningen (PV),2021,"0,5",0
Groningen (PV),2022,"2,8","2,2"
Groningen (PV),2023,"1,9","1,1"
Groningen (PV),2024,5,"4,6"
Fryslân (PV),2015,"2,5","1,7"
Fryslân (PV),2016,"1,6","1,1"
Fryslân (PV),2017,"1,3","0,9"
Fryslân (PV),2018,"2,3","1,7"
Fryslân (PV),2019,"2,3","1,9"
Fryslân (PV),2020,"2,8","2,4"
Fryslân (PV),2021,"-0,1","-0,4"
Fryslân (PV),2022,"2,5","2,1"
Fryslân (PV),2023,"2,4","1,9"
Fryslân (PV),2024,"5,1","4,9"
Drenthe (PV),2015,"1,8","1,5"
Drenthe (PV),2016,"1,2","0,9"
Drenthe (PV),2017,"1,1","0,7"
Drenthe (PV),2018,"1,1","1,1"
Drenthe (PV),2019,"1,9","1,8"
Drenthe (PV),2020,3,"2,8"
Drenthe (PV),2021,"0,6",0
Drenthe (PV),2022,"2,5","2,2"
Drenthe (PV),2023,"1,7","1,3"
Drenthe (PV),2024,"5,8","4,9"
Overijssel (PV),2015,"2,2","1,6"
Overijssel (PV),2016,"1,9","1,3"
Overijssel (PV),2017,"1,5",1
Overijssel (PV),2018,"2,2","1,7"
Overijssel (PV),2019,"2,1","1,9"
Overijssel (PV),2020,"2,1","1,6"
Overijssel (PV),2021,"1,4","0,7"
Overijssel (PV),2022,"2,6","2,1"
Overijssel (PV),2023,"2,1","1,2"
Overijssel (PV),2024,"5,7","4,9"
Flevoland (PV),2015,"2,3","2,1"
Flevoland (PV),2016,"1,6","1,6"
Flevoland (PV),2017,"1,3","1,2"
Flevoland (PV),2018,"1,9","1,7"
Flevoland (PV),2019,"2,3","2,1"
Flevoland (PV),2020,"2,4","2,4"
Flevoland (PV),2021,"0,2","0,1"
Flevoland (PV),2022,"2,7","2,5"
Flevoland (PV),2023,"1,2","0,6"
Flevoland (PV),2024,"5,5","4,7"
Gelderland (PV),2015,"2,4","1,9"
Gelderland (PV),2016,"1,6","1,3"
Gelderland (PV),2017,"1,1","0,9"
Gelderland (PV),2018,"2,2","1,8"
Gelderland (PV),2019,"2,2","1,9"
Gelderland (PV),2020,"2,4","2,1"
Gelderland (PV),2021,"0,9","0,6"
Gelderland (PV),2022,"2,7","2,3"
Gelderland (PV),2023,"1,4","0,9"
Gelderland (PV),2024,"5,6","4,9"
Utrecht (PV),2015,"2,4","2,2"
Utrecht (PV),2016,"1,5","1,4"
Utrecht (PV),2017,"1,3",1
Utrecht (PV),2018,"2,4","1,9"
Utrecht (PV),2019,"2,4",2
Utrecht (PV),2020,"2,8","2,5"
Utrecht (PV),2021,"1,2","0,6"
Utrecht (PV),2022,"3,3","2,6"
Utrecht (PV),2023,"1,6","1,2"
Utrecht (PV),2024,"5,6","4,8"
Noord-Holland (PV),2015,"2,6","2,1"
Noord-Holland (PV),2016,"2,4","1,6"
Noord-Holland (PV),2017,2,"1,4"
Noord-Holland (PV),2018,"2,8",2
Noord-Holland (PV),2019,"3,1","2,5"
Noord-Holland (PV),2020,"3,2","2,5"
Noord-Holland (PV),2021,"0,8","0,2"
Noord-Holland (PV),2022,"3,4","2,4"
Noord-Holland (PV),2023,"2,3","1,5"
Noord-Holland (PV),2024,"5,3","4,4"
Zuid-Holland (PV),2015,"2,4","1,9"
Zuid-Holland (PV),2016,"1,9","1,4"
Zuid-Holland (PV),2017,"1,8","1,3"
Zuid-Holland (PV),2018,"2,5",2
Zuid-Holland (PV),2019,"2,6","2,2"
Zuid-Holland (PV),2020,"3,2","2,4"
Zuid-Holland (PV),2021,1,"0,3"
Zuid-Holland (PV),2022,3,"2,5"
Zuid-Holland (PV),2023,"2,2","1,5"
Zuid-Holland (PV),2024,"5,6","4,8"
Zeeland (PV),2015,"2,5","1,7"
Zeeland (PV),2016,"1,7","1,1"
Zeeland (PV),2017,"1,4",1
Zeeland (PV),2018,"1,7","1,4"
Zeeland (PV),2019,"2,3","2,1"
Zeeland (PV),2020,"2,9","2,5"
Zeeland (PV),2021,"0,4","0,1"
Zeeland (PV),2022,"2,7","2,3"
Zeeland (PV),2023,"1,6",1
Zeeland (PV),2024,"5,1","4,9"
Noord-Brabant (PV),2015,"2,2","1,8"
Noord-Brabant (PV),2016,"1,8","1,3"
Noord-Brabant (PV),2017,"1,5","1,1"
Noord-Brabant (PV),2018,"2,1","1,7"
Noord-Brabant (PV),2019,"2,3",2
Noord-Brabant (PV),2020,"2,8","2,4"
Noord-Brabant (PV),2021,"0,6","0,3"
Noord-Brabant (PV),2022,"2,8","2,3"
Noord-Brabant (PV),2023,2,"1,1"
Noord-Brabant (PV),2024,"5,4","4,8"
Limburg (PV),2015,2,"1,7"
Limburg (PV),2016,"1,6","1,4"
Limburg (PV),2017,"1,6","1,3"
Limburg (PV),2018,"1,8","1,5"
Limburg (PV),2019,"2,5",2
Limburg (PV),2020,"2,6","2,4"
Limburg (PV),2021,"0,4","0,2"
Limburg (PV),2022,"2,7","2,3"
Limburg (PV),2023,"1,5","1,2"
Limburg (PV),2024,"5,2","4,8"
Amsterdam,2015,"3,1","2,2"
Amsterdam,2016,"2,9","1,7"
Amsterdam,2017,"2,5","1,5"
Amsterdam,2018,"3,3","2,1"
Amsterdam,2019,"3,4","2,8"
Amsterdam,2020,"3,5","2,5"
Amsterdam,2021,"1,1","0,3"
Amsterdam,2022,"3,6","2,5"
Amsterdam,2023,"2,8","1,7"
Amsterdam,2024,"5,2","4,1"
s-Gravenhage (gemeente),2015,"2,1","1,8"
s-Gravenhage (gemeente),2016,"2,1","1,4"
s-Gravenhage (gemeente),2017,"1,7","1,6"
s-Gravenhage (gemeente),2018,"2,8",2
s-Gravenhage (gemeente),2019,"2,5","2,3"
s-Gravenhage (gemeente),2020,"3,6","2,8"
s-Gravenhage (gemeente),2021,"0,8","0,2"
s-Gravenhage (gemeente),2022,"3,4","2,6"
s-Gravenhage (gemeente),2023,"2,7",2
s-Gravenhage (gemeente),2024,"5,4","4,7"
Rotterdam,2015,"2,8","2,2"
Rotterdam,2016,"2,2","1,3"
Rotterdam,2017,"1,8","1,3"
Rotterdam,2018,"2,7","2,1"
Rotterdam,2019,"3,2","2,4"
Rotterdam,2020,"4,1","2,8"
Rotterdam,2021,"1,2","0,2"
Rotterdam,2022,3,"2,5"
Rotterdam,2023,"2,6","1,5"
Rotterdam,2024,"5,9","4,9"
Utrecht (gemeente),2015,"2,4",2
Utrecht (gemeente),2016,"1,5","1,1"
Utrecht (gemeente),2017,"1,3",1
Utrecht (gemeente),2018,"2,8","1,9"
Utrecht (gemeente),2019,"2,4",2
Utrecht (gemeente),2020,"2,6","2,2"
Utrecht (gemeente),2021,"1,6","0,8"
Utrecht (gemeente),2022,"3,5","2,6"
Utrecht (gemeente),2023,"2,4","1,8"
Utrecht (gemeente),2024,"5,8","4,5"